S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2014-06-11,102.00,102.00,102.00,102.00,0.00,"3,389.00","345,678.00"
2,2014-01-09,100.00,102.00,102.00,102.00,0.00,"35,674.00","3,638,748.00"
3,2013-01-30,100.00,100.00,100.00,100.00,0.00,"100,209.00","10,020,900.00"
4,2012-07-05,107.00,105.00,100.00,100.00,0.00,"45,000.00","4,590,000.00"
5,2012-06-27,108.00,107.00,107.00,107.00,0.00,"10,000.00","1,070,000.00"
6,2012-06-25,109.00,108.00,108.00,108.00,0.00,"10,000.00","1,080,000.00"
7,2012-06-21,109.00,109.00,109.00,109.00,0.00,"10,000.00","1,090,000.00"
8,2012-06-13,109.00,109.00,109.00,109.00,0.00,"10,000.00","1,090,000.00"
9,2012-06-06,111.00,109.00,109.00,109.00,0.00,"5,000.00","545,000.00"
10,2012-06-05,115.00,111.00,111.00,111.00,0.00,"5,000.00","555,000.00"
11,2011-07-12,0.00,115.00,115.00,115.00,0.00,"8,008.00","920,920.00"
